B1,B4,B7,Ag,B,Al2O3,As,Au,Ba,Be,Bi,CaO,Cd,Co,Cr,Cu,F,Fe2O3,Hg,K2O,La,Li,MgO,Mn,Mo,Na2O,Nb,Ni,P,Pb,Sb,SiO2,Sn,Sr,Th,Ti,U,V,W,Y2,Zn,Zr,Gravity,Magnetic,type
11948,11820,15047,59.171299,30.9703007,11.2327003,10.5684996,0.89508,859.1810303,1.89065,0.128213,3.5815799,78.6530991,8.3391199,30.3351002,20.7968006,359.8309937,3.76388,72.7330017,2.59132,20.7775993,20.2826004,1.79956,498.2799988,1.63427,3.9858301,9.2285204,13.0416002,641.617981,13.6494999,0.688094,62.6899986,2.24089,441.9020081,6.4986901,3681.73999,2.14417,71.955101,0.927065,20.7908993,56.2798004,222.1109924,-156.4290009,54.6068001,1
11793,11417,13811,59.8699989,31.6201,11.3839998,10.5270004,0.713417,865.6409912,1.89296,0.125252,4.0100498,87.0936966,8.1494303,30.5695992,20.3155003,372.2990112,3.7948201,78.6990967,2.5297999,20.7796001,20.0501003,1.80448,491.6610107,1.64923,4.0096302,8.8031301,12.8444996,653.5830078,13.6302004,0.707375,63.1257019,2.1689799,438.3829956,6.2315798,3705.399902,2.01197,70.1201019,0.94632,20.4106007,55.1232986,218.3339996,-156.2579956,32.0203018,1
12518,12687,15279,43,20.2999992,13.4799995,7.5999999,1.4,587,2.0899999,0.18,5.1100001,70,7.27,23.1000004,11.8999996,470,2.9300001,10,3.3,30.2000008,14.1999998,1.52,549,0.75,3.3,9.7700005,11.6000004,443,15.3000002,0.6,66.25,1.2,277,7.6700001,2370,2,53.2000008,1.7,25.5,53.2000008,134,-177.4750061,17.0293999,0
12852,13724,16970,43.5265999,15.8921003,12.8621998,6.4451699,0.927458,485.105011,1.86344,0.159992,5.5585198,77.8713989,8.4234505,25.1714993,12.6185999,368.3259888,3.4105999,7.3023,3.18712,23.3761005,14.2188997,1.59255,545.3649902,1.05837,3.3649299,11.0663996,10.4202003,555.8959961,9.8947401,0.391296,64.1324005,1.20935,303.2489929,6.9700599,2423.570068,1.68635,59.4734993,1.92077,18.9475002,49.4631996,134.0079956,-179.3990021,11.3787003,0
12573,13314,16617,40,6,10.8800001,3.4000001,0.4,383,1.7,0.08,4.8899999,80,7.4000001,15,11,189,3.05,4,3.26,17,12,1.17,571,1.3,3.51,10,2.3,447,4.1999998,0.18,64.6800003,1,327,6,1400,1.2,60,2.5999999,11,40,120,-180.2369995,6.4026999,0
13000,13972,17456,45.449501,10.1700001,14.1608,3.3585801,0.767316,399.8049927,1.73761,0.102482,5.3267598,92.1679993,8.2625999,19.5951996,10.6777,251.4190063,3.29142,5.0258002,3.13778,17.5072002,13.6582003,1.35993,502.1579895,1.03383,3.52687,9.2487202,5.5531201,540.822998,5.77915,0.190576,63.5596008,1.11132,329.6319885,5.4498901,1747.540039,1.42522,54.3679008,2.14533,12.1469002,42.5763016,109.6330032,-181.776001,-1.0979,0
12828,13273,16608,50,8.5,17.0799999,1.5,1.1,365,1.8,0.05,5.1799998,110,7.1999998,11,7,175,2.8199999,5,3.2,11,13,1.09,430,0.8,3.7,7,1.4,447,5.5999999,0.08,62.8499985,1,338,3,1100,1.4,40,2.4000001,9,36,80,-182.5769958,-7.7958899,0
12804,13859,17022,47.4337006,10.4256001,15.7351999,2.6893499,0.861449,393.4899902,1.74371,0.0911719,5.2379498,106.7170029,8.3392,19.3071003,9.6512098,246.6580048,3.2295599,4.7103,3.08148,16.4027004,13.5389996,1.3405,452.7409973,1.0561399,3.5886099,8.1976604,5.0433302,538.5739746,5.5029202,0.16614,63.5273018,1.06929,333.0419922,5.1084499,1636.300049,1.47849,48.8619003,1.99869,11.3256998,41.9370003,102.1819992,-183.6660004,-16.3162994,0
12852,13365,16744,45.6371002,11.5643997,14.5815001,3.69613,0.691726,415.6080017,1.6413701,0.111172,5.6546602,113.1220016,9.1644201,27.8644009,11.4307003,308.8819885,3.5264599,4.0434198,2.9943199,20.8101997,14.1441002,1.61479,461.5310059,0.950257,3.41395,8.6719704,7.6449699,608.1810303,5.2642999,0.250487,63.6794014,1.13037,330.2879944,6.74259,1973.910034,1.60777,55.3289986,1.70731,13.3428001,48.3317986,121.5859985,-184.4680023,-23.7527008,0
13293,14838,18458,44.8311996,12.6529999,13.7782001,4.72297,0.582164,433.8460083,1.55952,0.136081,5.6900702,118.8919983,9.5123901,32.8060989,12.3085003,349.7990112,3.65818,3.4920199,2.98452,22.6660995,14.1789999,1.80521,452.2059937,0.9935,3.29721,9.1224298,9.1687002,636.9910278,5.1050401,0.318778,64.3031998,1.1537499,322.4899902,7.9164901,2165.169922,1.75684,58.9901009,1.54127,14.8242998,52.4309006,143.2539978,-185.3240051,-31.9696999,0
13029,13972,16976,42.6580009,13.7809,13.1534996,5.7459202,0.529433,436,1.53066,0.152395,5.36868,116.9850006,8.5320196,31.5571995,11.5474005,364.3859863,3.4631,3.1879699,3.0729699,23.1128006,13.3156004,1.7839,440.7609863,1.01421,3.22258,9.5437403,7.85779,589.2340088,5.1736698,0.450316,65.7837982,1.13757,290.7309875,8.7177496,2148.409912,1.92691,57.3142014,1.46382,16.7868004,54.1847,164.0980072,-185.9080048,-37.8800011,0
13029,14704,17422,40.1349983,13.4688997,12.3914003,6.7202601,0.490703,464.2000122,1.575,0.152494,4.7142601,116.2340012,7.9516201,30.8668995,11.4237003,343.4079895,3.30685,2.7742,3.0852799,22.9906006,12.2203999,1.78045,432.7630005,1.03327,3.19467,10.0544004,7.7700901,567.3770142,5.2775402,0.486594,67.6579971,1.06283,267.8760071,9.1012602,2214.419922,2.0359001,55.4262009,1.3693,18.816,54.2070999,185.2200012,-186.5079956,-44.3801994,0
13391,15173,18096,38.3123016,13.2539997,12.0236998,6.9933701,0.494131,476.9689941,1.6287,0.178558,4.1198702,114.8779984,7.2790799,29.5769005,11.0135002,324.1459961,3.1384799,2.59286,3.1021199,22.3568993,11.7482996,1.72844,420.9760132,1.01966,3.16734,10.2505999,7.8719802,545.7299805,5.5083399,0.495859,69.3057022,1.03975,244.4730072,9.2777996,2208.550049,2.11552,52.6763992,1.27615,19.9874992,53.5009995,197.2879944,-186.7640076,-47.1002007,0
12902,13261,15289,36.6156998,15.4453001,10.7025003,9.2547302,0.658182,469.9960022,2.22683,0.28932,2.8865099,111.4349976,5.73842,27.6198997,9.2488804,313.8380127,2.5802801,2.3901899,2.8622899,17.6138992,11.8587999,1.30209,381.8959961,0.992688,2.6521699,9.4367905,9.3340397,411.9500122,7.0370598,0.466149,74.4276962,0.924484,196.151001,8.5394802,1944.540039,1.94806,40.9235992,1.11859,18.6527004,46.1483994,190.7299957,-186.9819946,-48.8078995,0
12772,14007,15824,40,10.5,8.8900003,18.7000008,0.8,691,2.2,0.34,1.71,130,5,18,9,302,1.35,2,2.6900001,7.8000002,13,0.49,289,1.1,2.29,8,3.2,246,16,0.24,83.8499985,0.9,242,5.9000001,1350,1.3,23,1,15,41,170,-187.0059967,-44.7668991,0
13133,15449,18817,36.3558998,11.2451,8.8724203,8.8885403,1.0998,520.7280273,4.2818098,0.312702,1.7112401,113.9150009,3.8097899,18.4295006,8.5460501,253.6040039,1.39029,2.17785,2.48803,9.77005,12.0170002,0.579424,300.7659912,0.749371,2.2167499,6.91151,6.8975201,223.996994,11.7962999,0.227726,82.5572968,0.927104,178.6909943,6.71525,1469.839966,1.4270999,25.6646996,0.936504,13.9969997,33.2461014,229.3220062,-187.2279968,-50.0287018,0
12144,13313,17174,77.846199,14.3878002,13.4364004,3.5509601,0.532538,798.2520142,1.67466,0.160921,5.41078,56.5153999,13.0255003,51.834301,16.4986,362.0969849,4.0314298,8.8125896,2.2539799,32.2902985,10.2876997,1.69459,816.6420288,0.852431,3.14345,13.5552998,20.0489998,545.8140259,28.8104992,0.362042,66.2945023,1.4999,319.7909851,9.5703297,3539.300049,1.6653301,84.7891998,0.818931,25.5347996,49.7078018,258.868988,-181.3470001,-57.6523018,0
12422,14056,18324,70,9.5,10.2799997,1.2,0.3,807,1.8,0.14,2.1800001,19,9.3299999,100.5199966,17.4799995,238,2.03,6,2.1400001,14.5,12.8999996,0.79,283,10.4799995,2.75,4.6599998,10.8999996,474,23.6200008,0.09,77.0899963,1.4,283,6.5799999,1296,0.84,36.4500008,0.56,11.0699997,19.2999992,73,-184.5599976,-85.9733963,0
12190,13779,18329,64.0718994,18.4494991,10.7911997,1.62941,0.470391,925.6790161,1.86935,0.145371,2.64327,36.7430992,7.8945398,90.2594986,17.5160007,273.303009,2.3643501,3.7609701,2.2005999,14.3947001,14.9377003,1.054,353.2290039,8.3565998,2.81618,5.7470598,13.8744001,478.5880127,25.6203003,0.148303,73.3211975,1.7246701,305.4899902,7.6461501,1568.119995,1.39114,41.5267982,0.688424,14.0038996,25.7523003,93.2450027,-185.3390045,-89.566597,0
12292,13814,17999,50,29,11.2799997,1.3200001,0.8,798,1.9,0.11,2.6199999,49,7.0700002,85.4700012,17.7700005,289,2.5799999,1,2.4200001,10.3999996,18.1000004,1.25,358,8.0699997,2.96,6.1799998,12.6899996,485,21.2199993,0.17,71.0800018,2.0999999,313,7.8299999,1670,1.8,43.7900009,0.51,14.6199999,27.2999992,88,-185.8950043,-92.8656006,0
12113,13369,17465,62.3445015,22.1760006,10.9215002,1.35842,0.403114,786.8709717,1.83356,0.206152,2.48877,41.7830009,7.6458602,97.6626968,18.7080002,281.5880127,2.5718,3.69295,2.33389,13.4727001,17.0699005,1.23198,377.0929871,9.1707001,2.7854199,6.1258898,17.9603004,470.7319946,23.5077,0.122265,72.3831024,1.93577,273.0570068,8.06528,1607.380005,1.60418,44.1815987,0.796148,15.2252998,27.6313,85.7499008,-186.6560059,-96.0009995,0
11764,12017,16459,70,17.6000004,10.9899998,1.26,0.1,693,1.6,0.22,2.4300001,41,9.4700003,114.6200027,20.8799992,276,2.8,6,2.4400001,14,19.8999996,1.4400001,427,11.0200005,2.7,6.2199998,25.0400009,463,21.6100006,0.08,71.8799973,2,238,8.96,1687,1.52,47.8499985,0.86,15.8299999,30.3999996,85,-187.0180054,-101.310997,0
11768,12179,16048,68.2797012,21.9459991,10.6113005,1.4758199,0.348396,728.632019,1.66795,0.464955,2.34495,43.3140984,7.33605,101.1389999,18.1102009,285.0509949,2.52022,4.8971801,2.3675399,13.1035004,16.1611996,1.19519,376.2000122,9.7249899,2.6950901,6.2863202,18.7485008,460.2690125,22.9752998,0.101432,73.2842026,1.7444,239.6759949,6.9267902,1564.780029,1.55565,43.9620018,0.809289,14.7630997,26.9547997,81.2012024,-187.9029999,-103.8740005,0
12281,13639,17595,75.303299,19.9724007,10.2818003,1.50012,0.526268,820.5430298,1.58909,0.455396,2.34446,47.9416008,5.9889498,89.186203,16.5079002,320.4729919,2.2581201,3.39868,2.41131,10.9089003,13.0986996,1.00096,349.5180054,9.6378403,2.67397,5.9319401,13.6711998,444.0769958,21.6175995,0.107906,74.3116989,1.5738699,228.5149994,5.3657699,1402.650024,1.55098,39.0570984,0.677321,12.9224997,23.4143009,76.9728012,-188.8399963,-113.2559967,0
12650,15152,19499,90,10.1999998,10.0299997,1.3099999,0.7,970,1.6,0.12,2.4100001,47,4.8800001,77.0199966,15.7299995,399,1.9400001,1,2.48,8.6999998,10,0.8,330,10.8000002,2.6099999,5.1999998,8.3400002,405,19.5300007,0.1,75.2900009,1.6,214,4.1599998,1129,1.48,31.4200001,0.6,10.6999998,19.2999992,72,-189.2290039,-118.6330032,0
